,date,time,company_announcement,company,type
614,13.12.19,08:32:18,DNB Asset Management AS holds a short position at 1.33 % in shares issued by Netcompany Group,Netcompany Group,Shortselling (0)
615,12.12.19,22:16:27,(Historic) Melvin Capital Management LP holds a short position at 2.86 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
616,12.12.19,11:08:46,Citadel Advisors LLC holds a short position at 0.58 % in shares issued by Jyske Bank A/S,Jyske Bank A/S,Shortselling (0)
617,11.12.19,21:45:58,(Historic) Melvin Capital Management LP holds a short position at 2.93 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
618,11.12.19,13:28:59,(Historic) WorldQuant LLC holds a short position at 0.61 % in shares issued by Zealand Pharma A/S,Zealand Pharma A/S,Shortselling (0)
619,11.12.19,12:35:49,Marshall Wace LLP  holds a short position at 0.69 % in shares issued by Novozymes A/S,Novozymes A/S,Shortselling (0)
620,16.12.19,13:57:22,Marshall Wace LLP  holds a short position at 1.36 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
621,16.12.19,13:53:36,Marshall Wace LLP  holds a short position at 0.78 % in shares issued by ISS A/S,ISS A/S,Shortselling (0)
622,13.12.19,22:04:58,(Historic) Melvin Capital Management LP holds a short position at 2.77 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
623,13.12.19,10:34:52,D1 Capital Partners LP holds a short position at 1.12 % in shares issued by Vestas Wind Systems A/S,Vestas Wind Systems A/S,Shortselling (0)
624,13.12.19,08:32:18,DNB Asset Management AS holds a short position at 1.33 % in shares issued by Netcompany Group,Netcompany Group,Shortselling (0)
625,12.12.19,22:16:27,(Historic) Melvin Capital Management LP holds a short position at 2.86 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
626,12.12.19,11:08:46,Citadel Advisors LLC holds a short position at 0.58 % in shares issued by Jyske Bank A/S,Jyske Bank A/S,Shortselling (0)
627,11.12.19,21:45:58,(Historic) Melvin Capital Management LP holds a short position at 2.93 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
628,11.12.19,13:28:59,(Historic) WorldQuant LLC holds a short position at 0.61 % in shares issued by Zealand Pharma A/S,Zealand Pharma A/S,Shortselling (0)
629,11.12.19,12:35:49,Marshall Wace LLP  holds a short position at 0.69 % in shares issued by Novozymes A/S,Novozymes A/S,Shortselling (0)
630,16.12.19,13:57:22,Marshall Wace LLP  holds a short position at 1.36 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
631,16.12.19,13:53:36,Marshall Wace LLP  holds a short position at 0.78 % in shares issued by ISS A/S,ISS A/S,Shortselling (0)
632,13.12.19,22:04:58,(Historic) Melvin Capital Management LP holds a short position at 2.77 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
633,13.12.19,10:34:52,D1 Capital Partners LP holds a short position at 1.12 % in shares issued by Vestas Wind Systems A/S,Vestas Wind Systems A/S,Shortselling (0)
634,13.12.19,08:32:18,DNB Asset Management AS holds a short position at 1.33 % in shares issued by Netcompany Group,Netcompany Group,Shortselling (0)
635,12.12.19,22:16:27,(Historic) Melvin Capital Management LP holds a short position at 2.86 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
636,12.12.19,11:08:46,Citadel Advisors LLC holds a short position at 0.58 % in shares issued by Jyske Bank A/S,Jyske Bank A/S,Shortselling (0)
637,11.12.19,21:45:58,(Historic) Melvin Capital Management LP holds a short position at 2.93 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
638,11.12.19,13:28:59,(Historic) WorldQuant LLC holds a short position at 0.61 % in shares issued by Zealand Pharma A/S,Zealand Pharma A/S,Shortselling (0)
639,11.12.19,12:35:49,Marshall Wace LLP  holds a short position at 0.69 % in shares issued by Novozymes A/S,Novozymes A/S,Shortselling (0)
640,16.12.19,13:57:22,Marshall Wace LLP  holds a short position at 1.36 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
641,16.12.19,13:53:36,Marshall Wace LLP  holds a short position at 0.78 % in shares issued by ISS A/S,ISS A/S,Shortselling (0)
642,13.12.19,22:04:58,(Historic) Melvin Capital Management LP holds a short position at 2.77 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
643,13.12.19,10:34:52,D1 Capital Partners LP holds a short position at 1.12 % in shares issued by Vestas Wind Systems A/S,Vestas Wind Systems A/S,Shortselling (0)
644,13.12.19,08:32:18,DNB Asset Management AS holds a short position at 1.33 % in shares issued by Netcompany Group,Netcompany Group,Shortselling (0)
645,12.12.19,22:16:27,(Historic) Melvin Capital Management LP holds a short position at 2.86 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
646,12.12.19,11:08:46,Citadel Advisors LLC holds a short position at 0.58 % in shares issued by Jyske Bank A/S,Jyske Bank A/S,Shortselling (0)
647,11.12.19,21:45:58,(Historic) Melvin Capital Management LP holds a short position at 2.93 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
648,11.12.19,13:28:59,(Historic) WorldQuant LLC holds a short position at 0.61 % in shares issued by Zealand Pharma A/S,Zealand Pharma A/S,Shortselling (0)
649,11.12.19,12:35:49,Marshall Wace LLP  holds a short position at 0.69 % in shares issued by Novozymes A/S,Novozymes A/S,Shortselling (0)
650,16.12.19,13:57:22,Marshall Wace LLP  holds a short position at 1.36 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
651,16.12.19,13:53:36,Marshall Wace LLP  holds a short position at 0.78 % in shares issued by ISS A/S,ISS A/S,Shortselling (0)
652,13.12.19,22:04:58,(Historic) Melvin Capital Management LP holds a short position at 2.77 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
653,13.12.19,10:34:52,D1 Capital Partners LP holds a short position at 1.12 % in shares issued by Vestas Wind Systems A/S,Vestas Wind Systems A/S,Shortselling (0)
654,13.12.19,08:32:18,DNB Asset Management AS holds a short position at 1.33 % in shares issued by Netcompany Group,Netcompany Group,Shortselling (0)
655,12.12.19,22:16:27,(Historic) Melvin Capital Management LP holds a short position at 2.86 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
656,12.12.19,11:08:46,Citadel Advisors LLC holds a short position at 0.58 % in shares issued by Jyske Bank A/S,Jyske Bank A/S,Shortselling (0)
657,11.12.19,21:45:58,(Historic) Melvin Capital Management LP holds a short position at 2.93 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
658,11.12.19,13:28:59,(Historic) WorldQuant LLC holds a short position at 0.61 % in shares issued by Zealand Pharma A/S,Zealand Pharma A/S,Shortselling (0)
659,11.12.19,12:35:49,Marshall Wace LLP  holds a short position at 0.69 % in shares issued by Novozymes A/S,Novozymes A/S,Shortselling (0)
660,16.12.19,13:57:22,Marshall Wace LLP  holds a short position at 1.36 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
661,16.12.19,13:53:36,Marshall Wace LLP  holds a short position at 0.78 % in shares issued by ISS A/S,ISS A/S,Shortselling (0)
662,13.12.19,22:04:58,(Historic) Melvin Capital Management LP holds a short position at 2.77 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
663,13.12.19,10:34:52,D1 Capital Partners LP holds a short position at 1.12 % in shares issued by Vestas Wind Systems A/S,Vestas Wind Systems A/S,Shortselling (0)
664,13.12.19,08:32:18,DNB Asset Management AS holds a short position at 1.33 % in shares issued by Netcompany Group,Netcompany Group,Shortselling (0)
665,12.12.19,22:16:27,(Historic) Melvin Capital Management LP holds a short position at 2.86 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
666,12.12.19,11:08:46,Citadel Advisors LLC holds a short position at 0.58 % in shares issued by Jyske Bank A/S,Jyske Bank A/S,Shortselling (0)
667,11.12.19,21:45:58,(Historic) Melvin Capital Management LP holds a short position at 2.93 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
668,11.12.19,13:28:59,(Historic) WorldQuant LLC holds a short position at 0.61 % in shares issued by Zealand Pharma A/S,Zealand Pharma A/S,Shortselling (0)
669,11.12.19,12:35:49,Marshall Wace LLP  holds a short position at 0.69 % in shares issued by Novozymes A/S,Novozymes A/S,Shortselling (0)
670,16.12.19,13:57:22,Marshall Wace LLP  holds a short position at 1.36 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
671,16.12.19,13:53:36,Marshall Wace LLP  holds a short position at 0.78 % in shares issued by ISS A/S,ISS A/S,Shortselling (0)
672,13.12.19,22:04:58,(Historic) Melvin Capital Management LP holds a short position at 2.77 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
673,13.12.19,10:34:52,D1 Capital Partners LP holds a short position at 1.12 % in shares issued by Vestas Wind Systems A/S,Vestas Wind Systems A/S,Shortselling (0)
674,13.12.19,08:32:18,DNB Asset Management AS holds a short position at 1.33 % in shares issued by Netcompany Group,Netcompany Group,Shortselling (0)
675,12.12.19,22:16:27,(Historic) Melvin Capital Management LP holds a short position at 2.86 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
676,12.12.19,11:08:46,Citadel Advisors LLC holds a short position at 0.58 % in shares issued by Jyske Bank A/S,Jyske Bank A/S,Shortselling (0)
677,11.12.19,21:45:58,(Historic) Melvin Capital Management LP holds a short position at 2.93 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
678,11.12.19,13:28:59,(Historic) WorldQuant LLC holds a short position at 0.61 % in shares issued by Zealand Pharma A/S,Zealand Pharma A/S,Shortselling (0)
679,11.12.19,12:35:49,Marshall Wace LLP  holds a short position at 0.69 % in shares issued by Novozymes A/S,Novozymes A/S,Shortselling (0)
680,16.12.19,13:57:22,Marshall Wace LLP  holds a short position at 1.36 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
681,16.12.19,13:53:36,Marshall Wace LLP  holds a short position at 0.78 % in shares issued by ISS A/S,ISS A/S,Shortselling (0)
682,13.12.19,22:04:58,(Historic) Melvin Capital Management LP holds a short position at 2.77 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
683,13.12.19,10:34:52,D1 Capital Partners LP holds a short position at 1.12 % in shares issued by Vestas Wind Systems A/S,Vestas Wind Systems A/S,Shortselling (0)
684,13.12.19,08:32:18,DNB Asset Management AS holds a short position at 1.33 % in shares issued by Netcompany Group,Netcompany Group,Shortselling (0)
685,12.12.19,22:16:27,(Historic) Melvin Capital Management LP holds a short position at 2.86 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
